iban,date,currency,category,amount
BE40 0626 9034 0936,2020-07-19,BRL,Food - Snacks,243.91
VG81 QKHW 9463 7752 0835 3302,2020-06-18,BRL,Kitchen,-144.99
VG54 PXWF 8782 8658 9393 2528,2020-03-25,GTQ,Kitchen,1290.57
LT53 9916 6336 0556 1098,2023-01-24,CNY,Pets,-647.35
NL56 QQTJ 3774 5950 78,2022-12-28,SYP,Beauty,-3730.6
GR13 6888 190D RTCM 7N9T 3EQ7 JKW,2021-07-27,SEK,Clothing - Outerwear,4969.94
FR41 7625 7847 682F VRPG BBYX 860,2022-09-04,USD,Pets,-1468.87
LT46 6457 8582 3609 0273,2023-01-23,CNY,Toys,-2431.87
DK05 5513 7619 0929 98,2024-10-10,ZAR,Food - Salads,2716.87
BH46 TAFQ XD1B 6JEV KEUT ID,2022-03-20,IDR,Food - Frozen Meals,2977.59
FR83 9780 4961 215E HS5E AXI9 D33,2022-05-07,PEN,Smart Home,-2499.54
FR18 8084 1662 81DN JFTY 1SVI 410,2021-07-24,EUR,Health,-2915.38
PT34 0407 7884 0692 3868 1726 0,2023-11-06,CNY,Automotive,4374.57
EE46 4652 7676 7573 2816,2025-09-30,EUR,Food - Condiments,1716.45
GT93 CND1 U4LZ CWZG 0QTG HFLC ICNH,2023-08-10,CNY,Food - Bakery,-3357.22
LT93 4373 3410 2628 4193,2024-05-06,BDT,Food - Salads,-3477.97
FI90 9542 6806 3035 88,2024-03-18,CNY,Food - Breakfast,-2961.82
IL08 7485 4309 4867 4841 182,2023-03-29,EUR,Baby,2488.47
IE58 XAAH 8061 7757 0131 59,2024-03-12,RUB,Food - Snacks,-3840.92
ME39 8129 6181 0933 7804 36,2024-08-25,PEN,Outdoor,-1306.11
GB08 OQBD 5353 3537 4729 90,2024-05-09,USD,Food - Produce,3302.96
RO50 NVHJ CEB5 AVSZ NSHX TRUC,2025-04-30,RSD,Clothing - Jumpsuits,4791.84
EE65 7985 9931 4738 1500,2025-09-18,CNY,Food - Frozen Foods,773.1
KW59 YHUM YXZF LGJ4 I1LG ZJNJ XNI2 TL,2020-07-18,IDR,Office,706.73
BH33 MFQV R0VB RIDW KQHD F0,2023-03-02,MGA,Food - Condiments,2517.09
AE93 4963 2427 7696 6252 916,2025-10-21,IDR,Home,3838.69
BE50 0851 5850 9441,2023-08-27,CNY,Food - Nuts,-2877.11
FR78 9673 6564 78BZ VE1M TOF0 J52,2021-07-13,EUR,Food - Vegetables,4058.53
NO18 0660 5442 569,2021-01-11,CZK,Food - Seafood,-2927.35
RS15 2858 5045 8774 4152 94,2023-03-27,IDR,Food - Oils & Vinegars,2799.8
VG08 YYLV 9856 7560 3660 9273,2025-08-25,CNY,Garden,-1003.84
BA35 8274 1868 3298 0769,2026-01-02,SEK,Food - Snacks,1182.62
ES18 1724 0860 2564 9636 4414,2023-09-26,CNY,Food - Salads,1162.16
AZ95 XAXQ BLTF 5HZZ 1K2S 6UPU LXFI,2022-02-27,CNY,Home Appliances,-2206.25
MU23 CCXU 0572 3193 5112 9912 726F PG,2023-04-16,USD,Toys,1451.7
RO65 AFAI GDYO HTGJ JSGX NIYR,2021-10-11,EUR,Food - Fruits,3453.96
VG86 ERIL 3663 3848 6146 7470,2022-12-08,CZK,Food - Bakery,4504.09
VG60 QXEY 5730 7486 3230 4536,2020-10-29,AOA,Food - Snacks,-4959.52
TR43 1959 9X77 ILU9 OQY9 3RK7 CD,2023-05-08,CNY,Home,700.93
FR88 3048 2003 98UF SWO8 XMSH C15,2024-07-15,EUR,Food - Frozen Foods,-3012.45
SM82 M680 2195 2922 HDYI CZI4 RI4,2024-10-22,MGA,Sports,-236.56
BH28 TDIP PAUO RBXD 3M9X 7W,2020-02-16,CZK,Smart Home,-4664.14
FR70 7952 3427 83XV P0AT LLPT T26,2020-09-30,EUR,Automotive,630.3
FR95 0992 1879 22F9 CSWQ ZBEL F84,2021-08-23,KZT,Electronics,3197.03
MT69 UWNB 2610 7AE2 BHNK 62CQ 3QCL LNJ,2023-07-07,SEK,Fitness,-2689.72
ES82 0901 5167 0146 8947 6077,2020-11-22,CNY,Food - Spreads,3162.56
CR92 7269 0432 3947 7113 8,2022-07-08,THB,Clothing - Outerwear,-3065.2
CH14 0833 4XS8 MGZU BIEG B,2025-05-25,CNY,Food - Dairy,535.41
GE40 YE98 7430 2703 6977 09,2020-12-15,JPY,Clothing - Sweaters,3365.93
CH54 5532 5O7V NUYO VLUN F,2020-12-04,CNY,Food - Canned Goods,35.49
SA35 66Q4 TO5O R6T2 HCPO NVPL,2025-11-02,CNY,Home,2058.66
LV93 QFAL 9L3U Y1RI YINI B,2024-07-19,EGP,Food - Dressings,4682.78
CR26 5884 0923 3814 0747 9,2024-02-01,BYR,Food - Snacks,-650.18
DK58 5820 0206 0678 26,2024-08-31,CNY,Food - Snacks,4526.14
FR20 0539 2434 35J4 EZMS ZYYW U74,2022-12-29,AOA,Fitness,4988.3
CY74 2911 9923 ZBPG 7VJU 0IFK W4VR,2024-09-21,BOB,Food - Baking,-2177.03
ME25 2358 9219 4301 4565 22,2021-10-05,HNL,Toys,-2405.12
FR65 3120 8149 67GM SSW8 LCGE O78,2022-07-16,CZK,Food - Beverages,256.54
KZ94 8517 61KT Y0JN QUS6,2022-07-10,CZK,Home,-4046.01
MT21 QRFE 9780 7M3L SNUW 30WN 2PSJ K0F,2023-04-27,EUR,Food - Beverages,98.1
MU69 OYKJ 4217 3853 6755 0727 997E SC,2025-10-05,PLN,Food - Bakery,1869.43
GE60 AB05 0137 3108 7942 63,2020-09-09,CNY,Food - Grains,-172.84
FR97 6102 5585 792I JGEM AV9U O85,2024-02-10,CNY,Kitchen,1910.0
TR41 2584 69KJ G2CM 99QF 6OZM 5F,2025-06-27,IDR,Home,-4121.47
MK67 108G ZN92 6SRW C85,2025-02-01,COP,Electronics,2451.71
CH08 0640 9TQK 2UDB FCL9 H,2022-09-19,BRL,Kitchen,-4229.04
RS10 8217 9546 2848 1201 83,2023-05-06,CNY,Food - Grains,-287.61
VG83 SDQH 7273 1132 9638 4936,2023-03-08,CZK,Clothing - Outerwear,3157.42
CZ72 9768 9788 6490 5050 7899,2023-09-05,VND,Home,3278.09
SE69 0697 7429 5207 6140 8064,2023-04-11,PEN,Fitness,3413.47
FR67 6171 2747 83JP PLVS ITBR V71,2023-05-16,MUR,Pets,-3127.91
IL75 3084 0179 3114 1138 366,2021-07-28,NOK,Food - Breakfast,2512.17
NL65 HRPK 7436 3962 06,2024-11-19,IDR,Electronics,-4300.4
IL28 5015 4456 8646 8389 124,2024-04-21,CNY,Food - Grains,-634.79
MU32 QIGS 6130 5407 7848 9248 440V SH,2020-10-24,PHP,Food - Frozen Foods,3539.8
MD28 V7GU YDGV NHRB 4MC5 4AJT,2021-10-13,CZK,Food - Snacks,409.24
GL31 8570 3918 9550 88,2024-12-22,RUB,Food - Canned Goods,1541.95
